collection,cumulativeTradeVolumeETH,dailyMaxSalePrice,dailyMinSalePrice,dailyTradeVolumeETH,dailyTradedItemCount,transaction_date,dailyMinSalePrice_USD,dailyMaxSalePrice_USD,DailyTradeVolumeUSD
Cryptovoxels Parcel,199.62209237185724,2.95,0.314,3.264,2,2022-08-16,588.7749985216097,5531.48485872213,6120.259857243739
Decentraland LAND,491.69314999,1.75,1.2,6.319,3,2022-08-16,2250.095535751375,3281.389322970755,11848.628075344115
Sandbox's LANDs,3515.8547435725923,2.03,1.2,42.8769,30,2022-08-16,2250.095535751375,3806.411614646075,80397.60106404843
NFT Worlds,2651.199424120839,1.0,0.743,6.777,8,2022-08-16,1393.184152552726,1875.0796131261457,12707.41453815589
Sandbox's LANDs,3472.9778435725925,1.8,1.1101,20.3581999999999,15,2022-08-15,2105.71502123227,3414.3654069165714,38616.85212616034
Decentraland LAND,485.37414999,1.83,1.43004999,4.86004999,3,2022-08-15,2712.618453342994,3471.271497031848,9218.881423189572
NFT Worlds,2644.4224241208394,1.25,0.5201,11.858,12,2022-08-15,986.5619156318382,2371.087088136508,22493.08055289817
Somnium Space Land,111.3249979,2.0,1.05,5.05,3,2022-08-14,2032.125369045288,3870.7149886576913,9773.55534636067
Sandbox's LANDs,3452.6196435725924,1.8,1.1,17.87,13,2022-08-14,2128.8932437617304,3483.643489791922,34584.838423656474
Decentraland LAND,480.5141,1.89849,1.44,6.67849,3,2022-08-14,2786.914791833537,3674.25684940837,12925.265672300253
Cryptovoxels Parcel,196.35809237185725,0.44,0.2932,1.5682,4,2022-08-14,567.4468173372176,851.5572975046921,3035.027622606496
NFT Worlds,2632.5644241208392,0.95,0.59,11.1048,15,2022-08-14,1141.860921654019,1838.5896196124036,21491.757903022964
Sandbox's LANDs,3434.7496435725925,2.4,0.7,39.07719899,23,2022-08-13,1386.679258671053,4754.328886872182,77410.77332342061
Decentraland LAND,473.83561,2.2,1.6,3.8,2,2022-08-13,3169.5525912481216,4358.134812966167,7527.687404214288
